user_id,song_id,listen_cnt,song_name,artist_id,artist_name,album_id,album_name,genre_id,genre_name,domestic_yn,reg_date
67550496,122369101,11,Dosa Yang Menghantui,11677807,Anisa Rahman,13328192,Dosa Yang Menghantui,100045,Dangdut,Y,2021-04-13 07:19:42.022426
67550496,121058236,11,Sumayyah,11677807,Anisa Rahman,12374012,Sumayyah,100056,Religi-Muslim,Y,2021-04-13 07:13:00.479735
67552175,120456166,14,Tanpa Batas Waktu,11762344,Ade Govinda (Feat. Fadly),11690912,Tanpa Batas Waktu (Single),100010,Pop,Y,2021-04-13 07:18:36.345560
67552755,123742943,19,Indahnya Ramadhan,10000136,Opick,14249204,Wahai Pemilik Jiwa,100056,Religi-Muslim,Y,2021-04-13 15:33:19.476657
67552755,123740693,11,Laa Haula Walaa Quwwata illaa Billaah,11652243,Aquila,14245044,Laa Haula Walaa Quwwata illaa Billaah (Single),100010,Pop,Y,2021-04-13 07:39:37.758265
67552755,120382211,12,Ramadhan Kali Ini,11687363,Ifan Seventeen,11599752,Ramadhan Kali Ini,100010,Pop,Y,2021-04-13 15:37:43.076228
67552755,120386206,11,Ya Maulana (Remastered),11446377,Sabyan,11606192,Ya Maulana (Remastered),100056,Religi-Muslim,Y,2021-04-13 15:42:29.374559
67555334,120456166,13,Tanpa Batas Waktu,11762344,Ade Govinda (Feat. Fadly),11690912,Tanpa Batas Waktu (Single),100010,Pop,Y,2021-04-13 08:42:59.041711
67556498,120997556,22,Mungkin Hari Ini Esok Atau Nanti,12080204,Anneth Delliecia,12285872,Mungkin Hari Ini Esok Atau Nanti,100010,Pop,Y,2021-04-16 10:47:30.553936
67556498,118498317,13,Perawan Cinta,10002292,Rossa,11262145,Yang Terpilih,100010,Pop,Y,2021-04-13 09:20:55.847561
67556498,120385146,16,Stuck with U,11689164,"Ariana Grande, Justin Bieber",11604192,Stuck with U,200010,Pop,N,2021-04-15 07:48:21.477840
67556888,120834156,11,Putus Atau Terus,10249611,Judika,12126192,Putus Atau Terus (Single),100010,Pop,Y,2021-04-13 09:08:33.957127
67557755,122453498,16,Aku Di Matamu,10010125,Armada,13403384,Aku Di Matamu,100010,Pop,Y,2021-04-13 10:49:04.723870
67557755,122370011,11,Cintanya Aku,12609684,"Tiara Andini, Arsy Widianto",13329712,Cintanya Aku,100010,Pop,Y,2021-04-14 10:53:51.984268
67557755,120400381,12,Melukis Senja,10011729,Budi Doremi,11626632,Melukis Senja,100010,Pop,Y,2021-04-13 11:35:56.393724
67557755,120997556,12,Mungkin Hari Ini Esok Atau Nanti,12080204,Anneth Delliecia,12285872,Mungkin Hari Ini Esok Atau Nanti,100010,Pop,Y,2021-04-13 11:39:47.592429
67557755,123615123,12,Sabda Rindu,11200909,Lyodra,14170504,Sabda Rindu,200010,Pop,N,2021-04-14 10:32:05.491613
67557755,123405268,17,Sapu Jagat,11446377,Sabyan,14020864,Sapu Jagat,100056,Religi-Muslim,Y,2021-04-13 10:51:44.714716
67557755,122453523,14,Seperti Kisah,10827624,Rizky Febian,13403444,Seperti Kisah (Single),100010,Pop,Y,2021-04-14 10:36:45.124908
67557755,120541076,12,The Heart You Hurt (Hati Yang Kau Sakiti Korean Version),10002292,Rossa,11790092,The Heart You Hurt (Hati Yang Kau Sakiti Korean Version),100010,Pop,Y,2021-04-14 10:28:31.469992
67560780,119492444,11,Rayu,11553999,Marion Jola & Laleilmanino,11429376,Marion,100010,Pop,Y,2021-04-13 10:56:20.799770
